table_name,FieldName,PrimaryKey,notnull,datatype,length
dmn01-rsksoi-bld-01-2017.dmn01_rsksoi_euwe2_rsk_csp_ds_curation.rskcsp_ds_org_approval_curated,Id,yes,no,STRING,18
dmn01-rsksoi-bld-01-2017.dmn01_rsksoi_euwe2_rsk_csp_ds_curation.rskcsp_ds_org_approval_curated,OwnerId,,no,STRING,18
dmn01-rsksoi-bld-01-2017.dmn01_rsksoi_euwe2_rsk_csp_ds_curation.rskcsp_ds_org_approval_curated,Name,,no,STRING,80
dmn01-rsksoi-bld-01-2017.dmn01_rsksoi_euwe2_rsk_csp_ds_curation.rskcsp_ds_org_approval_curated,CurrencyIsoCode,,yes,STRING,3
dmn01-rsksoi-bld-01-2017.dmn01_rsksoi_euwe2_rsk_csp_ds_curation.rskcsp_ds_org_approval_curated,CreatedDate,,no,DATETIME,
dmn01-rsksoi-bld-01-2017.dmn01_rsksoi_euwe2_rsk_csp_ds_curation.rskcsp_ds_org_approval_curated,CreatedById,,no,STRING,18
dmn01-rsksoi-bld-01-2017.dmn01_rsksoi_euwe2_rsk_csp_ds_curation.rskcsp_ds_org_approval_curated,LastModifiedDate,,no,DATETIME,
dmn01-rsksoi-bld-01-2017.dmn01_rsksoi_euwe2_rsk_csp_ds_curation.rskcsp_ds_org_approval_curated,LastModifiedById,,no,STRING,18
dmn01-rsksoi-bld-01-2017.dmn01_rsksoi_euwe2_rsk_csp_ds_curation.rskcsp_ds_org_approval_curated,CCS_Approval_for__c,,yes,STRING,255
dmn01-rsksoi-bld-01-2017.dmn01_rsksoi_euwe2_rsk_csp_ds_curation.rskcsp_ds_org_approval_curated,CCS_Comments__c,,yes,STRING,255
dmn01-rsksoi-bld-01-2017.dmn01_rsksoi_euwe2_rsk_csp_ds_curation.rskcsp_ds_org_approval_curated,CCS_Connection__c,,yes,STRING,18
dmn01-rsksoi-bld-01-2017.dmn01_rsksoi_euwe2_rsk_csp_ds_curation.rskcsp_ds_org_approval_curated,CCS_Lending_Group__c,,yes,STRING,18
dmn01-rsksoi-bld-01-2017.dmn01_rsksoi_euwe2_rsk_csp_ds_curation.rskcsp_ds_org_approval_curated,CCS_ORG_Lead__c,,yes,STRING,18
